Suburb,State,Postcode,Lat,Lng,Bounds_N,Bounds_E,Bounds_S,Bounds_W,Is Regional
Benayeo,VIC,3319,-36.8910613,141.0540674,-36.7792809,141.2569682,-37.0784274,140.9690072,True
Bend of Islands,VIC,3097,-37.6897828,145.2369693,-37.651352,145.3114055,-37.7255298,145.1916908,False
Bendigo,VIC,3550,-36.7665875,144.2920769,-36.7124378,144.3495606,-36.8152569,144.2375398,True
Benjeroop,VIC,3579,-35.7583662,143.8671868,-35.4458812,144.123297,-35.9745159,143.5265709,True
Benloch,VIC,3435,-37.2423687,144.7192376,-37.1189509,144.8270573,-37.321384,144.5909315,True
Bennettswood,VIC,3125,-37.8483275,145.1099967,-37.8359782,145.133485,-37.8610869,145.0937435,False
Bentleigh,VIC,3204,-37.9193526,145.0438252,-37.8968081,145.0546869,-37.9347275,145.022458,False
Bentleigh East,VIC,3165,-37.9174873,145.0658766,-37.9057388,145.0853064,-37.9387523,145.0486119,False
Benwerrin,VIC,3235,-38.455233,143.9324048,-38.355317,144.026127,-38.5240019,143.826987,True
Beremboke,VIC,3342,-37.6114047,144.215646,-37.4360522,144.370466,-37.8439679,144.1301249,True
Berringa,VIC,3351,-37.6978029,143.0029169,-37.5156466,143.8177774,-37.9332909,142.7178929,True
Berriwillock,VIC,3531,-35.6512854,142.9170407,-35.533357,143.0852789,-35.70824,142.8391281,True
Berrybank,VIC,3323,-38.0061194,143.4986586,-37.9078956,143.5947263,-38.0913319,143.4167801,True
Berrys Creek,VIC,3953,-38.4586497,146.002705,-38.2922329,146.1988019,-38.609095,145.7767961,True
Berwick,VIC,3806,-38.0264207,145.3475331,-37.9720541,145.3854498,-38.0795906,145.3133118,False
Bessiebelle,VIC,3304,-37.9678788,141.3889736,-37.7693681,142.0308501,-38.2254801,140.9671329,True
Bet Bet,VIC,3472,-36.8747643,143.6068646,-36.6641109,143.944601,-36.9696812,143.5401991,True
Betley,VIC,3472,-36.8747643,143.6068646,-36.6641109,143.944601,-36.9696812,143.5401991,True
Beulah,VIC,3395,-35.9172982,142.4039296,-35.8014756,142.6989328,-36.0280639,142.164853,True
Beverford,VIC,3590,-35.2285875,143.4662269,-35.1890111,143.5146089,-35.2551541,143.412526,True
Beveridge,VIC,3753,-37.4822825,144.9832134,-37.4303727,145.0552206,-37.520872,144.8806585,True
Big Desert,VIC,3490,-35.3571245,141.5991643,-34.035717,142.7429619,-36.0260151,140.9625692,True
Big Hill,VIC,3231,-38.451657,144.0521131,-38.4064909,144.1309095,-38.497365,143.9800208,True
Big Hill,VIC,3555,-36.808032,144.2483931,-36.757043,144.2773729,-36.8527131,144.2039391,True
Big Pats Creek,VIC,3799,-37.6990844,145.8023118,-37.5620197,146.0200569,-37.8297651,145.6010987,True
Biggara,VIC,3707,-36.4104992,147.9162555,-36.0458384,148.2206572,-36.7858221,147.6508824,True
Bindi,VIC,3896,-37.1819263,147.7799935,-37.0306836,148.0264436,-37.411434,147.5256879,True
Binginwarri,VIC,3966,-38.6286899,146.4383942,-38.554673,146.5093551,-38.721348,146.3628695,True
Bingo Munjie,VIC,3898,-37.022052,147.5079912,-36.8072192,147.8624128,-37.2498271,147.2345969,True
Birchip,VIC,3483,-35.9221523,142.8312661,-35.757484,143.181771,-36.0868104,142.6007721,True
Birchip West,VIC,3483,-35.9221523,142.8312661,-35.757484,143.181771,-36.0868104,142.6007721,True
Birdwoodton,VIC,3505,-34.189156,141.8100218,-34.0908859,142.100694,-34.276775,141.696346,True
Birregurra,VIC,3242,-38.3300725,143.8128803,-38.2710029,143.938886,-38.4160137,143.732278,True
Bittern,VIC,3918,-38.3329437,145.165179,-38.3157455,145.2047247,-38.361083,145.1455619,False
Black Hill,VIC,3350,-37.5691087,143.8563224,-37.5208708,143.9322439,-37.642819,143.7381991,True
Black Range,VIC,3381,-37.1716807,142.5745556,-36.997554,142.8218839,-37.353367,142.4290452,True
Black Rock,VIC,3193,-37.9809272,145.0328017,-37.9612726,145.0542352,-37.9964748,145.00931,False
Blackburn,VIC,3130,-37.8258214,145.1541397,-37.7973206,145.1695754,-37.8481098,145.133173,False
Blackburn North,VIC,3130,-37.8258214,145.1541397,-37.7973206,145.1695754,-37.8481098,145.133173,False
Blackburn South,VIC,3130,-37.8258214,145.1541397,-37.7973206,145.1695754,-37.8481098,145.133173,False
Blackwood,VIC,3458,-37.459275,144.3685809,-37.333783,144.4724194,-37.6136337,144.2527144,True
Blackwood Forest,VIC,3992,-38.5123976,145.6023644,-38.47033,145.6475666,-38.5968058,145.5084685,True
Blairgowrie,VIC,3942,-38.3645949,144.7686693,-38.3534116,144.788659,-38.387899,144.750948,False
Blakeville,VIC,3342,-37.6114047,144.215646,-37.4360522,144.370466,-37.8439679,144.1301249,True
Blind Bight,VIC,3980,-38.2092442,145.3917982,-38.1693849,145.4306581,-38.2431583,145.3058986,False
Blowhard,VIC,3352,-37.7122033,143.8671868,-37.1152091,144.1788786,-38.0220729,143.455862,True
